High School Average Mark,Math Score,1st Term GPA,2nd Term GPA,Fast Track_1,Fast Track_2,Coop_1,Coop_2,Residency_1,Residency_2,Prev Education_1,Prev Education_2,First Language,Funding,Gender,Age Group,English Grade,FirstYearPersistence
-0.7553636154699771,0.0003521019016852614,-2.339655469907083,-1.835600623438984,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0
-0.017262352216702335,0.0003521019016852614,0.8338784021342858,0.858898886127875,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,5.0,1.0
-0.017262352216702335,0.0003521019016852614,-0.7025904928937279,-0.9583990256683861,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0
-0.017262352216702335,1.8900150978490518,0.857169255459608,0.8297691617001252,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,5.0,1.0
1.5239345712414225,-0.1787008636553013,0.3809285367544721,0.4705028031722474,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0
-0.017262352216702335,0.0003521019016852614,-2.339655469907083,-1.835600623438984,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,4.0,0.0
-0.017262352216702335,-0.868272850823419,-1.38579217488855,-0.5132647937154982,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0
-0.017262352216702335,-0.40855819271134053,0.1881809660069056,0.18361871214555345,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,1.0
-2.7947356772643874,-1.787702167047576,-2.190355128078095,-1.835600623438984,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0
-0.8753266779284717,0.7407284525688557,-0.18309497682170378,-0.06354263016523962,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0
1.763860696158412,0.0003521019016852614,1.3026955760651469,1.2174187954672913,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,7.0,1.0
-0.017262352216702335,1.545229104264993,0.14868356057604679,1.042693610647873,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,1.0
0.8041561964904543,0.0003521019016852614,0.4691517676339081,-0.1970536243780562,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0
-0.017262352216702335,0.0003521019016852614,0.19476428163522053,0.6992454207273744,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,4.0,1.0
-0.017262352216702335,-0.29362952818332094,0.1289344431374456,0.6139441204424839,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,6.0,1.0
-0.017262352216702335,0.0003521019016852614,0.39751746362435963,0.7479284726772513,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,6.0,1.0
-0.017262352216702335,0.0003521019016852614,-2.339655469907083,-1.835600623438984,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,7.0,0.0
-0.27551136563599815,-1.5578448379915368,-2.019187262849222,-1.835600623438984,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0
-0.017262352216702335,0.0003521019016852614,1.0682874038228882,1.1793258548331227,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,6.0,1.0
-0.017262352216702335,1.2004431106809341,-2.123277802279705,-0.1474005526047351,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,5.0,1.0
1.2840084463244332,1.6601577687930127,1.2062276485313772,1.3421872311362293,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,6.0,1.0
0.5642300715734648,-1.4429161734635172,0.05852606082358192,0.15306308770706517,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0
-0.017262352216702335,1.7750864333210323,-2.339655469907083,-1.835600623438984,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,6.0,0.0
-0.5154374905529876,-0.40855819271134053,-0.1037567751737798,0.07999554343871879,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0
-0.017262352216702335,0.16608512992875757,0.16596341625006522,-0.284126011908154,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0
-0.3954744280944929,-0.6384155217673798,-2.339655469907083,-1.835600623438984,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0
1.6438976336999174,-0.29362952818332094,1.1854914899440177,1.1435756722860562,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,1.0
-0.017262352216702335,0.0003521019016852614,-0.08572544111255541,-0.09902117803201754,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,5.0,1.0
-0.7553636154699771,-0.40855819271134053,0.06573892622660905,-0.08781715777399444,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0
-0.7553636154699771,-1.6727735025195563,-0.26603961117114155,-1.3986547570227363,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0
-0.017262352216702335,0.0003521019016852614,0.8519097361955101,0.22308657577271146,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,7.0,1.0
1.4039715087829279,-0.29362952818332094,0.7806428769161299,0.5074422067190771,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,7.0,1.0
0.6841931340319596,0.625799788040836,0.6463513666726729,0.1872970680976675,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0
-0.017262352216702335,-0.868272850823419,-2.339655469907083,-1.835600623438984,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,6.0,0.0
-0.017262352216702335,0.0003521019016852614,0.14868356057604679,0.32111902211875015,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,0.0
0.924119258948949,1.4303004397369734,1.2933195145982865,1.4414933746828713,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,6.0,1.0
-0.017262352216702335,1.7750864333210323,0.960850048396405,0.5918761694591314,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,6.0,1.0
2.1237498835338964,0.0003521019016852614,0.9781299040704234,1.1380585024794403,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,0.0
-0.017262352216702335,0.0003521019016852614,1.0645308413332024,0.858898886127875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,7.0,1.0
-1.1152528028454611,-2.4772741542156935,-0.7400093057877897,-0.34745184808475,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0
-0.6354005530114823,-2.132488160631635,-2.339655469907083,-1.835600623438984,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0
-0.15554830317750346,-0.06377219912728169,-0.18309497682170378,-0.5065569464228982,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0
0.924119258948949,-0.40855819271134053,0.6629402935425605,1.0773718193359987,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,6.0,0.0
-0.017262352216702335,2.0049437623770716,1.176475408190234,1.3374587486184948,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,5.0,1.0
-0.017262352216702335,1.0855144461529145,0.7256895683205968,1.042693610647873,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0
-0.017262352216702335,0.9705857816248948,-0.12779827743996433,0.0023466217609983413,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,3.0,1.0
-0.017262352216702335,0.16608512992875757,-0.3201336133548144,-0.3791144020514926,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,5.0,1.0
-2.434846489888903,0.0003521019016852614,-0.8300631247473176,0.1872970680976675,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0
-0.017262352216702335,1.8900150978490518,1.012690444864804,1.3201192801528767,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,7.0,1.0
-0.017262352216702335,0.0003521019016852614,-1.5562898474718803,-1.835600623438984,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,5.0,0.0
-0.017262352216702335,0.0003521019016852614,-0.19691935902872457,0.25809831980553477,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0
-0.017262352216702335,0.0003521019016852614,1.3130984921052533,1.3939995437327577,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,1.0
-0.017262352216702335,1.545229104264993,0.8917289668076448,0.8953110416625621,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,7.0,1.0
-0.9952897403869665,-0.29362952818332094,0.8288295622414356,0.7860745750585004,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,0.0
-0.017262352216702335,0.625799788040836,-2.339655469907083,-1.835600623438984,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0
-0.017262352216702335,0.3959424589847968,-0.5365112809821921,-0.2641284560885037,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,5.0,1.0
2.0037868210754013,-0.6384155217673798,0.2696442091868623,0.1872970680976675,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0
0.44426700911497014,-1.787702167047576,-1.1286638084052933,-1.835600623438984,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0
-0.017262352216702335,0.0003521019016852614,0.8398885703392462,0.6872417895338093,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,5.0,1.0
-0.5154374905529876,-1.4429161734635172,0.25782128100669327,-0.9252967350718018,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0
-0.017262352216702335,0.0003521019016852614,0.3733250021236594,0.648228349607724,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0
-0.017262352216702335,0.7407284525688557,0.7608937594775287,-0.048095137301204044,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,7.0,1.0
3.3233805081188432,0.0003521019016852614,0.010442226844869605,-1.835600623438984,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0
2.3636760084508857,0.625799788040836,0.2813949755351472,0.74635255458571,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0
-0.017262352216702335,1.2004431106809341,1.116371237801601,1.4010351004251695,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,7.0,1.0
-0.017262352216702335,1.4303004397369734,0.906003738379183,0.6785720553010003,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,5.0,1.0
-0.017262352216702335,0.0003521019016852614,-2.339655469907083,-1.835600623438984,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,5.0,4.0,0.0
-0.017262352216702335,1.2004431106809341,0.5041602094537752,0.6404259529197511,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,5.0,1.0
0.08437782173948598,0.8556571170968753,0.07956330843362983,-0.1242293133086816,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0
1.4039715087829279,1.545229104264993,1.0723848687597501,1.0608210381592618,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,5.0,1.0
-0.017262352216702335,0.0003521019016852614,0.08232785309649661,0.5244466833537759,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0
-0.017262352216702335,1.545229104264993,0.3470290646958569,0.5311894863156894,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0
1.0440823214074437,2.0049437623770716,0.9090096519280064,1.0622003306109158,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0
0.5642300715734648,-1.0981301798794583,-0.5148735142194544,-0.7605754258639836,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0
-0.3954744280944929,-0.7533441862953993,0.0864750848139684,-0.21728276150690715,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0
-0.03558524071900874,-0.7533441862953993,-0.3351598633135585,-1.835600623438984,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0
-0.15554830317750346,-2.132488160631635,-0.855382803828827,-0.7432359573983655,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0
-0.5154374905529876,0.28101379445677716,-0.30374209471467845,-0.6007537363049128,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0
-0.017262352216702335,1.545229104264993,0.48046209797379735,0.41915219670789927,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,5.0,1.0
-0.017262352216702335,1.545229104264993,-1.2199029061896747,-1.835600623438984,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,5.0,1.0
-0.017262352216702335,1.545229104264993,0.22080972626728726,0.7449128179558684,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,5.0,0.0
-0.017262352216702335,1.2004431106809341,0.6463513666726729,-0.014992846704619821,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,6.0,1.0
-0.017262352216702335,0.0003521019016852614,0.16596341625006522,-0.14503594722431254,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0
-0.017262352216702335,0.0003521019016852614,0.05852606082358192,0.23709141903446287,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,6.0,1.0
-1.1152528028454611,0.16608512992875757,-0.7168254510407783,-1.835600623438984,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,0.0
-0.27551136563599815,-0.40855819271134053,-0.07462910792928772,0.9916962020922117,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0
2.8435282582848647,1.4303004397369734,1.2743608595250353,1.3148424305727902,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,1.0
-0.3954744280944929,1.4303004397369734,-1.5299582438513077,-1.835600623438984,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0
-0.017262352216702335,1.8900150978490518,0.7189279217284308,0.5676016418503765,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,5.0,1.0
-0.017262352216702335,1.2004431106809341,0.9961612381316478,1.042693610647873,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,5.0,1.0
0.6841931340319596,-0.868272850823419,-0.2119456089874687,-0.2670771124437025,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0
-0.017262352216702335,1.2004431106809341,-0.19691935902872457,-0.7250298796310218,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,4.0,1.0
-0.017262352216702335,0.0003521019016852614,0.7246875971376555,0.4705028031722474,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,5.0,1.0
1.0440823214074437,-1.3279875089354976,0.8917289668076448,0.9733371932716223,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0
-0.017262352216702335,1.2004431106809341,1.2846642420039225,0.9906759334941296,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,4.0,1.0
-0.017262352216702335,0.0003521019016852614,0.8917289668076448,0.2471746731451285,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,6.0,1.0
1.0440823214074437,0.7407284525688557,0.5461268766492167,0.5571979607710058,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0
-3.0346618021813767,-1.6727735025195563,-2.339655469907083,-1.835600623438984,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0
-0.017262352216702335,0.0003521019016852614,1.1223814060065607,1.0919366815498732,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,6.0,1.0
-0.017262352216702335,1.7750864333210323,-0.02411748450316726,-0.11902747276899608,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,5.0,1.0
-0.017262352216702335,1.8900150978490518,1.0322239062540959,0.8715637620659499,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,6.0,1.0
-0.017262352216702335,1.8900150978490518,1.1953660486633177,0.8622087510659779,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,5.0,1.0
-0.017262352216702335,-0.7533441862953993,-2.0434245144524708,-1.835600623438984,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0
-0.15554830317750346,-0.1787008636553013,0.22080972626728726,0.25809831980553477,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0
-0.017262352216702335,0.0003521019016852614,0.8785963428510981,0.923320728186065,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0
-1.235215865303956,-0.9832015153514386,-0.2283371276276046,0.2341427626792641,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0
-0.017262352216702335,0.0003521019016852614,0.8226087146652278,0.9608529216249991,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,5.0,1.0
-0.017262352216702335,0.0003521019016852614,0.5634067323232351,0.4073881574977527,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,7.0,1.0
-0.017262352216702335,-0.40855819271134053,0.41825362221171936,0.6222198751524076,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0
-0.017262352216702335,0.0003521019016852614,0.3733250021236594,0.1518964422437337,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,7.0,1.0
-0.017262352216702335,1.8900150978490518,0.3422207642426202,0.9180686388717417,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0
0.5642300715734648,0.16608512992875757,0.05442859588671975,-1.835600623438984,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0
